S1 Center 	 Band Mean 	 Band Widths
1.0	3.525922312663179	[0.12109953 0.12109953]
2.0	3.507789517631961	[0.1166183 0.1166183]
3.0	3.5357052514569096	[0.12120281 0.12932165]
4.0	3.553788678833868	[0.12121603 0.12121603]
5.0	3.574444190478192	[0.12275553 0.12275553]
6.0	3.6026657312793904	[0.10568578 0.12693917]
7.0	3.617344881593305	[0.11482497 0.11482497]
8.0	3.6408110846200024	[0.11310521 0.12259487]
9.0	3.6611362067699376	[0.11196457 0.11196457]
10.0	3.6779525844749137	[0.11761289 0.11761289]
11.0	3.693558917333755	[0.1223366 0.1223366]
12.0	3.706652406114824	[0.1297216 0.1297216]
13.0	3.7239864249594654	[0.11881106 0.13931101]
14.0	3.73481103933947	[0.12439805 0.12439805]
15.0	3.7494947465776356	[0.12225918 0.12225918]
16.0	3.7642893799094486	[0.12890486 0.12890486]
17.0	3.782641594886375	[0.12883431 0.12883431]
18.0	3.7902197065887053	[0.12851039 0.12851039]
19.0	3.8007868614345313	[0.11711824 0.13272147]
20.0	3.8118808283636003	[0.13478267 0.13478267]
21.0	3.823232249509341	[0.12592962 0.12592962]
22.0	3.8312417939652974	[0.12565668 0.12565668]
23.0	3.843601348859748	[0.1253996 0.1253996]
24.0	3.852318379983021	[0.12859947 0.12859947]
25.0	3.868906007154492	[0.1334854 0.1334854]
26.0	3.8733350401232802	[0.12972258 0.12972258]
27.0	3.880890124065877	[0.12595489 0.12595489]
28.0	3.893414228212528	[0.12950482 0.13949342]
29.0	3.9019428331416446	[0.12125039 0.14825554]
30.0	3.911714640021567	[0.12415276 0.1390167 ]
31.0	3.917088273974962	[0.11667244 0.13874872]
32.0	3.9251648420836407	[0.11939949 0.15267264]
33.0	3.9329285844248414	[0.1256793  0.13890332]
34.0	3.941955249381283	[0.12921254 0.12921254]
35.0	3.9478611251131395	[0.13391407 0.13391407]
36.0	3.951717539113975	[0.12706916 0.12706916]
37.0	3.9637193045256085	[0.12356076 0.12356076]
38.0	3.9710319488458756	[0.12582795 0.12582795]
39.0	3.9749561407707454	[0.12513767 0.13747738]
40.0	3.9906224413215323	[0.12148926 0.13608843]
41.0	3.9872142099941374	[0.13254419 0.13254419]
42.0	4.001567447536533	[0.11616515 0.14536325]
43.0	4.000715199601488	[0.12982161 0.12982161]
44.0	4.007826627903355	[0.13209646 0.13209646]
45.0	4.015749607986967	[0.12400016 0.12400016]
46.0	4.022269144079954	[0.11740975 0.13188196]
47.0	4.022066884627662	[0.11991566 0.11991566]
48.0	4.039580185359123	[0.11895508 0.13507596]
49.0	4.04593837191972	[0.12997785 0.12997785]
50.0	4.04984467950621	[0.13172171 0.13172171]
51.0	4.053046711528123	[0.11436369 0.14180671]
52.0	4.057324903747283	[0.1303438 0.1303438]
53.0	4.064364789880955	[0.12259697 0.12259697]
54.0	4.065417588503198	[0.12633834 0.12633834]
55.0	4.072139895482171	[0.11964109 0.12206832]
56.0	4.0804338691493385	[0.12814747 0.12814747]
57.0	4.088558912237961	[0.11406341 0.130281  ]
58.0	4.08853733394862	[0.12200377 0.12200377]
59.0	4.0976114184435275	[0.12925059 0.12925059]
60.0	4.0979663478803445	[0.11447716 0.11447716]
61.0	4.108840414464267	[0.12389651 0.12389651]
62.0	4.12156195074568	[0.12263169 0.13691208]
63.0	4.111768424194543	[0.1156747 0.1156747]
64.0	4.12906038566104	[0.11906673 0.13144179]
65.0	4.1260819868507275	[0.11818944 0.11818944]
66.0	4.1267209254239905	[0.12129907 0.12129907]
67.0	4.133289655384464	[0.12611774 0.12611774]
68.0	4.144728237318869	[0.12054418 0.12054418]
69.0	4.149648092806328	[0.12511249 0.12511249]
70.0	4.1570723692057	[0.12334072 0.12334072]
71.0	4.156434666122027	[0.11525206 0.13403174]
72.0	4.1616807527237825	[0.11563191 0.11563191]
73.0	4.166595893416655	[0.12231245 0.12231245]
74.0	4.169268715527743	[0.12361969 0.12361969]
75.0	4.172673542291841	[0.12116779 0.12116779]
76.0	4.180379897802516	[0.12263945 0.12263945]
77.0	4.180823697871899	[0.12384413 0.12384413]
78.0	4.181955932478224	[0.11960582 0.11960582]
79.0	4.188837324392046	[0.12571765 0.12571765]
80.0	4.194950089392244	[0.11818785 0.11818785]
81.0	4.200203610946224	[0.11900031 0.11900031]
82.0	4.2082554634302705	[0.11259716 0.13092481]
83.0	4.198437987478855	[0.12004891 0.12004891]
84.0	4.209981957753239	[0.10851813 0.12531779]
85.0	4.219354515351192	[0.12160474 0.12160474]
86.0	4.221730031497732	[0.12384783 0.12384783]
87.0	4.225724041286366	[0.11745329 0.11745329]
88.0	4.227633318605214	[0.11676377 0.11676377]
89.0	4.232061219729421	[0.12147138 0.12147138]
90.0	4.238468504702868	[0.1163853 0.1163853]
